gX,gY,gZ
-40.3442,27.1606,314.2090
-151.4282,12.4512,270.5688
-206.8481,12.0239,262.6953
-214.3555,-13.1836,230.5908
-269.1040,-151.3672,102.9663
-270.3247,-223.7549,55.7251
-208.9233,-240.1123,41.6870
-204.2236,-251.9531,11.5967
-224.1211,-254.5776,12.6953
-203.8574,-227.2949,16.2964
-162.4146,-174.0112,-4.4556
-130.5542,-165.8325,-12.6953
-111.3892,-207.8247,-13.7329
-88.7451,-229.2480,-20.1416
-27.0386,-178.7109,-25.5737
638.9160,-294.0063,-367.6147
467.6514,-315.7959,-169.6167
287.4756,-297.0581,-13.8550
331.7261,-291.5039,142.4561
310.4858,-293.1519,199.9512
150.9399,-182.2510,126.0986
134.6436,-133.9111,166.9312
144.8975,-132.6904,201.4160
62.1338,-108.2153,123.5962
41.0156,-75.5615,158.6304
-4.6387,-72.8760,148.4375
-20.9961,-65.9180,216.5527
-7.1411,-57.9224,227.8442
-45.7764,-65.6738,192.3218
-98.9380,-55.5420,226.8677
-88.3789,-27.0996,247.8638
-92.5293,-15.0757,260.9863
-88.8062,49.9268,274.1699
-135.9253,46.3867,253.0518
-167.4805,36.1938,229.8584
-230.1636,-14.8926,204.5898
-189.0259,-44.0674,155.4565
-192.9321,-131.4087,93.6890
-195.1294,-209.7168,33.6914
-148.3765,-210.5103,5.8594
-169.0674,-213.1348,-41.8701
-196.4722,-245.7275,-52.0020
-149.8413,-226.7456,-57.5562
-144.2871,-215.8813,-47.0581
-131.8970,-197.4487,-29.6631
-117.3096,-196.4722,-22.7661
-92.3462,-189.1479,-24.9634
517.8833,-382.7515,-218.9331
296.6309,-344.0552,-125.2441
254.7607,-303.8330,16.4185
346.4355,-334.4727,234.3750
240.7227,-269.2871,283.5693
130.2490,-180.7861,251.5259
114.3188,-155.0903,245.0562
83.9844,-131.2866,237.3657
44.7388,-94.2993,205.6274
2.3193,-75.1343,187.6831
-17.3950,-50.5981,239.1357
-15.8691,-67.3828,207.8247
-54.5044,-73.9136,197.2656
-120.1172,-50.6592,230.8350
-104.1260,-31.0059,237.4878
-141.4185,-26.6113,221.0693
-174.7437,7.6294,236.2671
-165.3442,30.8838,250.2441
-159.8511,18.9819,203.3081
-227.5391,0.9766,191.1011
-241.0889,29.7241,174.8657
-222.5952,-55.9692,106.3232
-228.1494,-229.7974,70.8618
-206.4819,-188.9038,44.3726
-198.6084,-174.1943,-10.0708
-222.2290,-268.6768,-14.5264
-190.7959,-257.7515,10.9863
-135.6201,-255.0659,-19.0430
-105.6519,-272.0337,-20.0806
-97.8394,-242.4316,-16.4185
